service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
4173M,0,1,0,0,0,0,0,20251209,20251209                                                                                                                 
4174X,0,0,1,0,0,0,0,20251210,20251210                                                                                                                 
4175J,0,0,0,1,0,0,0,20251211,20251211                                                                                                                 
4176V,0,0,0,0,1,0,0,20251212,20251212                                                                                                                 
4177S,0,0,0,0,0,1,0,20251213,20251213                                                                                                                 
4178D,0,0,0,0,0,0,1,20251214,20251214                                                                                                                 
4179L,1,0,0,0,0,0,0,20251215,20251215                                                                                                                 
4180M,0,1,0,0,0,0,0,20251216,20251216                                                                                                                 
4181X,0,0,1,0,0,0,0,20251217,20251217                                                                                                                 
4182J,0,0,0,1,0,0,0,20251218,20251218                                                                                                                 
4183V,0,0,0,0,1,0,0,20251219,20251219                                                                                                                 
4184S,0,0,0,0,0,1,0,20251220,20251220                                                                                                                 
5155V,0,0,0,0,1,0,0,20251121,20251121                                                                                                                 
5156S,0,0,0,0,0,1,0,20251122,20251122                                                                                                                 
5157D,0,0,0,0,0,0,1,20251123,20251123                                                                                                                 
5158L,1,0,0,0,0,0,0,20251124,20251124                                                                                                                 
5159M,0,1,0,0,0,0,0,20251125,20251125                                                                                                                 
5160X,0,0,1,0,0,0,0,20251126,20251126                                                                                                                 
5161J,0,0,0,1,0,0,0,20251127,20251127                                                                                                                 
5162V,0,0,0,0,1,0,0,20251128,20251128                                                                                                                 
5163S,0,0,0,0,0,1,0,20251129,20251129                                                                                                                 
5164D,0,0,0,0,0,0,1,20251130,20251130                                                                                                                 
5165L,1,0,0,0,0,0,0,20251201,20251201                                                                                                                 
5166M,0,1,0,0,0,0,0,20251202,20251202                                                                                                                 
5167X,0,0,1,0,0,0,0,20251203,20251203                                                                                                                 
5168J,0,0,0,1,0,0,0,20251204,20251204                                                                                                                 
5169V,0,0,0,0,1,0,0,20251205,20251205                                                                                                                 
5170S,0,0,0,0,0,1,0,20251206,20251206                                                                                                                 
5171D,0,0,0,0,0,0,1,20251207,20251207                                                                                                                 
5172L,1,0,0,0,0,0,0,20251208,20251208                                                                                                                 
5173M,0,1,0,0,0,0,0,20251209,20251209                                                                                                                 
5174X,0,0,1,0,0,0,0,20251210,20251210                                                                                                                 
5175J,0,0,0,1,0,0,0,20251211,20251211                                                                                                                 
5176V,0,0,0,0,1,0,0,20251212,20251212                                                                                                                 
5177S,0,0,0,0,0,1,0,20251213,20251213                                                                                                                 
5178D,0,0,0,0,0,0,1,20251214,20251214                                                                                                                 
5179L,1,0,0,0,0,0,0,20251215,20251215                                                                                                                 
5180M,0,1,0,0,0,0,0,20251216,20251216                                                                                                                 
5181X,0,0,1,0,0,0,0,20251217,20251217                                                                                                                 
5182J,0,0,0,1,0,0,0,20251218,20251218                                                                                                                 
5183V,0,0,0,0,1,0,0,20251219,20251219                                                                                                                 
5184S,0,0,0,0,0,1,0,20251220,20251220                                                                                                                 
6055V,0,0,0,0,1,0,0,20251121,20251121                                                                                                                 
6056S,0,0,0,0,0,1,0,20251122,20251122                                                                                                                 
6057D,0,0,0,0,0,0,1,20251123,20251123                                                                                                                 
6058L,1,0,0,0,0,0,0,20251124,20251124                                                                                                                 
6059M,0,1,0,0,0,0,0,20251125,20251125                                                                                                                 
6060X,0,0,1,0,0,0,0,20251126,20251126                                                                                                                 
6061J,0,0,0,1,0,0,0,20251127,20251127                                                                                                                 
6062V,0,0,0,0,1,0,0,20251128,20251128                                                                                                                 
6063S,0,0,0,0,0,1,0,20251129,20251129                                                                                                                 
6064D,0,0,0,0,0,0,1,20251130,20251130                                                                                                                 
6065L,1,0,0,0,0,0,0,20251201,20251201                                                                                                                 
6066M,0,1,0,0,0,0,0,20251202,20251202                                                                                                                 
6067X,0,0,1,0,0,0,0,20251203,20251203                                                                                                                 
6068J,0,0,0,1,0,0,0,20251204,20251204                                                                                                                 
6069V,0,0,0,0,1,0,0,20251205,20251205                                                                                                                 
6070S,0,0,0,0,0,1,0,20251206,20251206                                                                                                                 
6071D,0,0,0,0,0,0,1,20251207,20251207                                                                                                                 
6072L,1,0,0,0,0,0,0,20251208,20251208                                                                                                                 
6073M,0,1,0,0,0,0,0,20251209,20251209                                                                                                                 
